nom,date,season,longitude,latitude,temperature
Adebar,01/06/2016,Summer,8.245650505,49.32406687,15.5
Adebar,01/07/2016,Summer,8.24308481,49.31321514,20.5
Adebar,01/08/2016,Summer,4.878259977,46.06057024,20.6
Adebar,01/09/2016,Fall,-5.145185073,37.67258521,28.4
Adebar,01/10/2016,Fall,-5.572215419,37.05679274,23.3
Adebar,01/11/2016,Fall,-5.567473107,37.22197144,19.3
Adebar,01/12/2016,Winter,-5.3685889,37.2376339,14.4
Adebar,01/01/2017,Winter,-5.329936952,37.27217011,8.3
Adebar,01/02/2017,Winter,-5.334008354,37.26745797,12.3
Adebar,01/03/2017,Spring,-5.325537481,37.27786345,13.2
Adebar,01/04/2017,Spring,-1.56025554,40.46392509,3.2
Adebar,01/05/2017,Spring,3.016661552,43.20950847,12.3
Adebar,01/06/2017,Summer,3.062287783,43.20936229,19.9
Adebar,01/07/2017,Summer,3.221883268,43.24145503,18.9
Adebar,01/08/2017,Summer,1.906201903,42.30028991,15.9
Adebar,01/09/2017,Fall,-5.417707,37.1955328,26.2
Adebar,01/10/2017,Fall,-5.679866365,37.09952264,25.2
Adebar,01/11/2017,Fall,-5.613763583,37.18727859,19.6
Adebar,01/12/2017,Winter,-5.351107545,37.25340943,8
Adebar,01/01/2018,Winter,-5.345759245,37.25764521,10.7
Adebar,01/02/2018,Winter,-5.380019921,37.23488933,11.3
Adebar,01/03/2018,Spring,-3.246210097,38.95248167,9.3
Adebar,01/04/2018,Spring,8.242174497,49.22989481,6.8
Adebar,01/05/2018,Spring,8.304769068,49.38614952,10.1
Adebar,01/06/2018,Summer,8.29572423,49.3719429,19.9
Adebar,01/07/2018,Summer,8.309136032,49.39694854,22.3
Adebar,01/08/2018,Summer,5.496183868,46.4559047,23.5
Adebar,01/09/2018,Fall,-4.99685714,37.61877234,28.4
Adebar,01/10/2018,Fall,-5.377866329,37.24650129,25.3
Adebar,01/11/2018,Fall,-5.743543857,37.18479233,11.1
Adebar,01/12/2018,Winter,-5.855575974,37.18406511,10.6
Adebar,01/01/2019,Winter,-5.360262032,37.24355347,12.2
Adebar,01/02/2019,Winter,-5.578404475,37.21941465,12.7
Adebar,01/03/2019,Spring,0.713733348,42.32683702,5.6
Adebar,01/04/2019,Spring,8.411962323,49.42856492,10.9
Adebar,01/05/2019,Spring,8.425920316,49.43480574,14.1
Adebar,01/06/2019,Summer,8.40681631,49.42807362,21.5
Adebar,01/07/2019,Summer,8.34747801,49.42649035,25.9
Adebar,01/08/2019,Summer,8.371675142,49.42087097,21.2
Adebar,01/09/2019,Fall,-2.440700947,39.47645515,25.2
Adebar,01/10/2019,Fall,-5.580700139,37.26759024,24.2
Adebar,01/11/2019,Fall,-6.058345733,37.29629752,21.1
Adebar,01/12/2019,Winter,-6.006961729,37.59738512,12
Adebar,01/01/2020,Winter,-6.008292113,37.59219512,10.7
Adebar,01/02/2020,Winter,-5.714883307,38.06824292,11.8
Adebar,01/03/2020,Spring,6.283314926,47.3827646,7.7
Adebar,01/04/2020,Spring,8.41074423,49.42759844,3.6
Adebar,01/05/2020,Spring,8.41077081,49.42756709,11.3
Adebar,01/06/2020,Summer,8.388230713,49.42375065,19.9
Adebar,01/07/2020,Summer,8.364674103,49.42793945,22.1
Adebar,01/08/2020,Summer,8.339743055,49.43002916,27.3
Adebar,01/09/2020,Fall,-3.856223033,38.69326838,21.3
Adebar,01/10/2020,Fall,-5.343405165,37.27381974,21.4
Adebar,01/11/2020,Fall,-5.499444333,37.22975425,19.2
Adebar,01/12/2020,Winter,-5.34563801,37.26060175,12.8
Adebar,01/01/2021,Winter,-5.340116945,37.26329202,8.2
Adebar,01/02/2021,Winter,-5.299864829,37.35042196,14
Adebar,01/03/2021,Spring,5.867798342,47.00293093,8.2
Adebar,01/04/2021,Spring,8.410771847,49.42758206,14.6
Adebar,01/05/2021,Spring,8.410814597,49.42759179,10.1
Adebar,01/06/2021,Summer,8.399902493,49.42624933,18.1
Adebar,01/07/2021,Summer,8.399206777,49.42605878,16.2
Adebar,01/08/2021,Summer,7.240315006,48.1285171,14.7
Adebar,01/09/2021,Fall,-3.9033802,38.6799912,21
Adebar,01/10/2021,Fall,-5.647866277,37.20889686,23.9
Adebar,01/11/2021,Fall,-5.48638977,37.24768924,19.9
Adebar,01/12/2021,Winter,-5.361530258,37.24952221,9.9
Adebar,01/01/2022,Winter,-5.361325242,37.24952228,16.2
Adebar,01/02/2022,Winter,-2.206304543,39.73609097,7.8
Adebar,01/03/2022,Spring,8.373485858,49.37298584,2.1
Adebar,01/04/2022,Spring,8.410670613,49.42749217,2.8
Adebar,01/05/2022,Spring,8.410766952,49.42757452,11.9
Adebar,01/06/2022,Summer,8.397320997,49.4332192,17.4
Adebar,01/07/2022,Summer,8.357530668,49.43119821,17.7
Adebar,01/08/2022,Summer,2.170787948,43.75620885,25.3
