nom,year_month,tag-local-identifier,date,longitude,latitude
Adebar,2016-06,14,2016-06-11,8.2456198,49.3240658
Adebar,2016-07,14,2016-07-01,8.24565,49.3240577
Adebar,2016-08,14,2016-08-01,8.2351676,49.2768761
Adebar,2016-09,14,2016-09-01,-0.8181755,41.5951641
Adebar,2016-10,14,2016-10-01,-6.0288813,36.5029575
Adebar,2016-11,14,2016-11-01,-5.3396177,37.2751468
Adebar,2016-12,14,2016-12-01,-5.3743663,37.2315317
Adebar,2017-01,14,2017-01-01,-5.2963006,37.3008266
Adebar,2017-02,14,2017-02-01,-5.3708529,37.2331475
Adebar,2017-03,14,2017-03-01,-5.3708096,37.2330742
Adebar,2017-04,14,2017-04-01,-5.3001466,37.3028591
Adebar,2017-05,14,2017-05-01,3.9073627,43.5576076
Adebar,2017-06,14,2017-06-01,2.9869403,43.1978845
Adebar,2017-07,14,2017-07-01,3.2226136,43.2410445
Adebar,2017-08,14,2017-08-01,3.2172953,43.2312972
Adebar,2017-09,14,2017-09-01,-3.6882647,38.9376409
Adebar,2017-10,14,2017-10-01,-5.8047064,36.3106962
Adebar,2017-11,14,2017-11-01,-5.9981762,37.1463472
Adebar,2017-12,14,2017-12-01,-5.374192,37.2316447
Adebar,2018-01,14,2018-01-01,-5.3745555,37.2308176
Adebar,2018-02,14,2018-02-01,-5.2841909,37.3103585
Adebar,2018-03,14,2018-03-01,-5.2828434,37.3102649
Adebar,2018-04,14,2018-04-01,6.9657802,49.0349272
Adebar,2018-05,14,2018-05-01,8.2940681,49.3859004
Adebar,2018-06,14,2018-06-01,8.2940769,49.3858852
Adebar,2018-07,14,2018-07-01,8.29411,49.3858814
Adebar,2018-08,14,2018-08-01,8.3485531,49.4215159
Adebar,2018-09,14,2018-09-01,-3.2418297,39.3958157
Adebar,2018-10,14,2018-10-01,-6.0817288,37.1661963
Adebar,2018-11,14,2018-11-01,-5.374038,37.2313739
Adebar,2018-12,14,2018-12-01,-5.9675858,37.159675
Adebar,2019-01,14,2019-01-01,-5.3744445,37.2313798
Adebar,2019-02,14,2019-02-01,-5.3930931,37.2254567
Adebar,2019-03,14,2019-03-01,-5.4070087,37.220304
Adebar,2019-04,14,2019-04-01,8.4120988,49.4290779
Adebar,2019-05,14,2019-05-01,8.5230138,49.4245197
Adebar,2019-06,14,2019-06-01,8.4120054,49.429012
Adebar,2019-07,14,2019-07-01,8.4133035,49.4283373
